node1	node2	dirnode1	dirnode2	dir	logFCnode1	logFCnode2	fdrnode1	fdrnode2	pairs
IGKV1D-16	IGLC2	up	up	u	2.72294358669483	2.61101477021537	0.00139973247615749	0.00245479150918301	IGKV1D-16|IGLC2
IGHA1	IGLC2	up	up	u	2.79464981329531	2.61101477021537	0.0205654577537117	0.00245479150918301	IGHA1|IGLC2
IGHA2	IGLC2	up	up	u	2.77554970340833	2.61101477021537	0.0165991858907524	0.00245479150918301	IGHA2|IGLC2
IGHG1	IGLC2	up	up	u	2.64087038305269	2.61101477021537	0.0021897389139426	0.00245479150918301	IGHG1|IGLC2
IGHG4	IGLC2	up	up	u	2.69255345801038	2.61101477021537	0.00201197329793369	0.00245479150918301	IGHG4|IGLC2
IGHV2-5	IGLC2	up	up	u	1.19039662384072	2.61101477021537	0.0381957453086016	0.00245479150918301	IGHV2-5|IGLC2
IGKV4-1	IGLC2	up	up	u	2.85056775579267	2.61101477021537	0.00070356196373004	0.00245479150918301	IGKV4-1|IGLC2
CD3G	IGLC6	up	up	u	1.40689904296256	2.90550094438991	0.00468632321009627	0.00115390168968066	CD3G|IGLC6
IGHA1	IGLC6	up	up	u	2.79464981329531	2.90550094438991	0.0205654577537117	0.00115390168968066	IGHA1|IGLC6
IGHV2-5	IGLC6	up	up	u	1.19039662384072	2.90550094438991	0.0381957453086016	0.00115390168968066	IGHV2-5|IGLC6
IGKV1D-16	IGLC6	up	up	u	2.72294358669483	2.90550094438991	0.00139973247615749	0.00115390168968066	IGKV1D-16|IGLC6
IGHG1	IGLC6	up	up	u	2.64087038305269	2.90550094438991	0.0021897389139426	0.00115390168968066	IGHG1|IGLC6
IGHA2	IGLC6	up	up	u	2.77554970340833	2.90550094438991	0.0165991858907524	0.00115390168968066	IGHA2|IGLC6
IGKV4-1	IGLC6	up	up	u	2.85056775579267	2.90550094438991	0.00070356196373004	0.00115390168968066	IGKV4-1|IGLC6
IGHG4	IGLC6	up	up	u	2.69255345801038	2.90550094438991	0.00201197329793369	0.00115390168968066	IGHG4|IGLC6
IGLL5	IGLL1	up	up	u	2.93973645675666	1.13307448784766	0.00214039086481751	0.00188939208084466	IGLL5|IGLL1
IGHG1	IGLL1	up	up	u	2.64087038305269	1.13307448784766	0.0021897389139426	0.00188939208084466	IGHG1|IGLL1
hsa-miR-346	IKZF3	down	up	o	-2.42229222689031	1.38203655671262	0.0159030879156636	0.0151510069787437	hsa-miR-346|IKZF3
hsa-miR-146a-5p	IKZF3	down	up	o	-1.16595538914752	1.38203655671262	0.00945756173771955	0.0151510069787437	hsa-miR-146a-5p|IKZF3
hsa-miR-494-3p	IKZF3	down	up	o	-2.33786094593974	1.38203655671262	5.62113054088687e-05	0.0151510069787437	hsa-miR-494-3p|IKZF3
hsa-miR-369-3p	IL7R	down	up	o	-2.16943254231645	1.8576265367649	0.00143366920293941	0.00516621127743607	hsa-miR-369-3p|IL7R
IRF8	IRF4	up	up	u	1.19184969382312	1.4244501193828	0.00939402241730712	0.00070356196373004	IRF8|IRF4
GATA3	IRF4	down	up	o	-1.12378873613056	1.4244501193828	0.0219065995665794	0.00070356196373004	GATA3|IRF4
